permid,ticker,cik,filing_date,n_words,ai_hits,ai_per_10k,ai_per_10k_risk,ai_per_10k_nonrisk
4295902161,NFBK,1493225,2022-03-01,86612.0,0.0,0.0,0.0,0.0
4295902196,HBIO,1123494,2022-03-11,34593.0,0.0,0.0,0.0,0.0
4295902212,BYRN,1354866,2022-02-11,47660.0,0.0,0.0,0.0,0.0
4295902229,AQB,1603978,2022-03-10,38712.0,0.0,0.0,0.0,0.0
4295902230,ICFI,1362004,2022-02-25,54832.0,0.0,0.0,0.0,0.0
4295902234,CPRX,1369568,2022-03-16,70758.0,0.0,0.0,0.0,0.0
4295902236,LTBR,1084554,2022-03-31,41144.0,0.0,0.0,0.0,0.0
4295902239,BKD,1332349,2022-02-15,82723.0,0.0,0.0,0.0,0.0
4295902251,XPO,1166003,2022-02-16,60329.0,2.0,0.332,0.0,0.332
4295902324,MMLP,1176334,2022-03-01,83545.0,0.0,0.0,0.0,0.0
4295902329,DBI,1319947,2022-03-21,39750.0,0.0,0.0,0.0,0.0
4295902339,HROW,1360214,2022-03-10,72433.0,0.0,0.0,0.0,0.0
4295902347,MFIC,1278752,2022-05-19,94362.0,0.0,0.0,0.0,0.0
4295902402,CYRX,1124524,2022-02-28,69890.0,0.0,0.0,0.0,0.0
4295902403,PRTS,1378950,2022-03-02,47315.0,0.0,0.0,0.0,0.0
4295902419,FRST,1325670,2022-03-14,71691.0,1.0,0.139,0.0,0.139
4295902423,WLDN,1370450,2022-03-11,65185.0,0.0,0.0,0.0,0.0
4295902449,GSAT,1366868,2022-02-25,54069.0,0.0,0.0,0.0,0.0
4295902499,ORA,1296445,2022-02-25,112641.0,0.0,0.0,0.0,0.0
4295902506,ALT,1326190,2022-03-15,100036.0,0.0,0.0,0.0,0.0
4295902517,MFA,1055160,2022-02-23,98131.0,0.0,0.0,0.0,0.0
4295902520,MA,1141391,2022-02-11,67988.0,13.0,1.912,0.0,1.912
4295902526,CROX,1334036,2022-02-16,58190.0,0.0,0.0,0.0,0.0
4295902533,AMSF,1018979,2022-02-25,55809.0,0.0,0.0,0.0,0.0
4295902544,III,1371489,2022-03-11,40327.0,0.0,0.0,0.0,0.0
4295902551,CLNE,1368265,2022-02-24,73536.0,0.0,0.0,0.0,0.0
4295902560,ESOA,1357971,2021-12-29,47408.0,0.0,0.0,0.0,0.0
4295902562,RLGT,1171155,2021-09-20,43195.0,0.0,0.0,0.0,0.0
4295902564,EXR,1289490,2022-02-28,49493.0,0.0,0.0,0.0,0.0
4295902600,TCRT,1107421,2022-03-30,90465.0,0.0,0.0,0.0,0.0
4295902623,BR,1383312,2022-08-12,58452.0,1.0,0.171,0.0,0.171
4295902628,CVGI,1290900,2022-03-02,48227.0,0.0,0.0,0.0,0.0
4295902632,RBC,1324948,2022-05-26,46215.0,0.0,0.0,0.0,0.0
4295902634,PDFS,1120914,2022-03-01,52025.0,10.0,1.922,0.0,1.922
4295902665,STXS,1289340,2022-03-10,54006.0,0.0,0.0,0.0,0.0
4295902667,NOG,1104485,2022-02-25,69006.0,0.0,0.0,0.0,0.0
4295902703,PRIM,1361538,2022-03-01,56947.0,0.0,0.0,0.0,0.0
4295902706,BX,1393818,2022-02-25,160994.0,27.0,1.677,0.0,1.677
4295902726,CVCO,278166,2022-05-31,44439.0,0.0,0.0,0.0,0.0
4295902738,PODD,1145197,2022-02-24,49238.0,0.0,0.0,0.0,0.0
4295902744,BANC,1169770,2022-03-01,92006.0,0.0,0.0,0.0,0.0
4295902750,ALTO,778164,2022-03-15,47130.0,0.0,0.0,0.0,0.0
4295902753,ENS,1289308,2022-05-25,59544.0,0.0,0.0,0.0,0.0
4295902781,RGP,1084765,2022-07-28,49516.0,4.0,0.808,0.0,0.808
4295902829,MPWR,1280452,2022-02-25,47888.0,0.0,0.0,0.0,0.0
4295902860,OFLX,1317945,2022-03-14,32102.0,0.0,0.0,0.0,0.0
4295902861,PDM,1042776,2022-02-17,55333.0,0.0,0.0,0.0,0.0
4295902917,BLDR,1316835,2022-03-01,48335.0,0.0,0.0,0.0,0.0
4295902954,FORM,1039399,2022-02-18,47113.0,0.0,0.0,,0.0
4295902973,GORO,1160791,2022-03-10,54200.0,0.0,0.0,0.0,0.0
4295902977,ARLP,1086600,2022-02-25,126847.0,0.0,0.0,0.0,0.0
4295903006,OMCL,926326,2022-02-25,71324.0,0.0,0.0,0.0,0.0
4295903017,ACN,1467373,,,,,,
4295903020,ZBH,1136869,2022-02-25,65806.0,6.0,0.912,0.0,0.912
4295903051,COP,1163165,2022-02-17,90362.0,0.0,0.0,0.0,0.0
4295903058,O,726728,2022-02-23,80356.0,0.0,0.0,,0.0
4295903059,R,85961,2022-02-17,66246.0,0.0,0.0,0.0,0.0
4295903068,F,37996,2022-02-04,95441.0,26.0,2.724,0.0,2.724
4295903076,BA,12927,2022-01-31,70108.0,0.0,0.0,0.0,0.0
4295903078,AGCO,880266,2022-02-25,70357.0,1.0,0.142,0.0,0.142
4295903080,MTRN,1104657,2022-02-17,50377.0,0.0,0.0,0.0,0.0
4295903081,AP,6176,2022-03-17,45746.0,0.0,0.0,0.0,0.0
4295903087,BC,14930,2022-02-16,56634.0,0.0,0.0,0.0,0.0
4295903091,KO,21344,2022-02-22,98884.0,1.0,0.101,0.0,0.101
4295903093,CAR,723612,2022-02-17,58904.0,0.0,0.0,0.0,0.0
4295903098,ED,1047862,2022-02-17,122129.0,0.0,0.0,,0.0
4295903104,DE,315189,2021-12-16,88036.0,0.0,0.0,0.0,0.0
4295903108,CVSA,730464,2022-08-11,92504.0,0.0,0.0,0.0,0.0
4295903113,CL,21665,2022-02-17,53828.0,0.0,0.0,0.0,0.0
4295903114,KODK,31235,2022-03-15,79185.0,0.0,0.0,0.0,0.0
4295903120,DY,67215,2022-03-04,54000.0,0.0,0.0,0.0,0.0
4295903121,LCII,763744,2022-02-25,47716.0,0.0,0.0,0.0,0.0
4295903122,M,794367,2022-03-25,50836.0,0.0,0.0,0.0,0.0
4295903123,DG,29534,2022-03-18,47018.0,0.0,0.0,0.0,0.0
4295903126,GT,42582,2022-02-14,80399.0,0.0,0.0,,0.0
4295903128,GE,40545,2022-02-11,79920.0,2.0,0.25,0.0,0.25
4295903132,FE,1031296,2022-02-16,97925.0,0.0,0.0,0.0,0.0
4295903136,GD,40533,2022-02-09,46936.0,8.0,1.704,0.0,1.704
4295903139,FC,886206,2022-11-14,51544.0,0.0,0.0,0.0,0.0
4295903141,FR,921825,2022-02-18,58149.0,0.0,0.0,0.0,0.0
4295903147,NEU,1282637,2022-02-15,40845.0,0.0,0.0,0.0,0.0
4295903148,HD,354950,2022-03-23,44694.0,0.0,0.0,0.0,0.0
4295903153,HE,354707,2022-02-25,136279.0,2.0,0.147,0.0,0.147
4295903154,HL,719413,2022-02-23,88003.0,0.0,0.0,0.0,0.0
4295903159,HP,46765,2022-11-17,68432.0,0.0,0.0,0.0,0.0
4295903161,IT,749251,2022-02-23,49148.0,0.0,0.0,0.0,0.0
